"Data
wyliczenia","Stawka","Wartość
obrotów
(w mln PLN)","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15"
2005-08-19,0.047,1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-22,0.0466,1354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-23,0.0465,1400.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-24,0.0464,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-25,0.046,1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-26,0.0467,3065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-29,0.0425,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-30,0.0395,3574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-31,0.0457,2695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-01,0.0451,2330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-02,0.0457,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-05,0.0462,1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-06,0.0453,2230.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-07,0.0447,4990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-08,0.0451,1788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-09,0.0451,3993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-12,0.0451,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-13,0.0447,2927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-14,0.0452,858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-15,0.0445,3810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-16,0.0447,5450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-19,0.0447,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-20,0.0445,1538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-21,0.0446,2524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-22,0.044,3020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-23,0.0454,2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-26,0.0443,2570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-27,0.0473,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-28,0.0503,2828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-29,0.0594,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-30,0.0458,4008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-03,0.0455,2688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-04,0.0454,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-05,0.0452,1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-06,0.045,878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-07,0.0454,2583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-10,0.0456,3129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-11,0.0452,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-12,0.045,2133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-13,0.0446,1888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-14,0.0451,2524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-17,0.0451,2428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-18,0.0452,2398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-19,0.0451,3093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-20,0.0448,2078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-21,0.0458,2598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-24,0.0452,1840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-25,0.0445,2873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-26,0.0429,4672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-27,0.0436,3433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-28,0.0482,2335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-31,0.0466,2404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-02,0.0462,3540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-03,0.0458,1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-04,0.0453,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-07,0.0445,2296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-08,0.0441,1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-09,0.0438,2534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-10,0.045,3380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-14,0.0451,1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-15,0.0448,2318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-16,0.0456,2340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-17,0.0449,4723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-18,0.0448,2507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-21,0.0456,2590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-22,0.0448,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-23,0.0451,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-24,0.0447,2843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-25,0.042,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-28,0.0338,2680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-29,0.0316,2481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-30,0.0449,2399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
